State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing,Population,CAGR_2011_2021_pct,Source_Note,Rainfall_mm,Rainfall_Mapping_Note
Mizoram,0.16,0.0,0.05,0.0,0.21,0.02,0.19,0.0,0.0,0.01,0.01,0.01,0.18,3.82,2017,False,1180711,1.23,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1920,direct
Nagaland,1.65,0.03,0.52,0.0,2.2,0.22,1.98,0.0,0.0,0.02,0.02,0.02,1.96,0.99,2017,False,2084208,0.8713,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1830,direct
Odisha,10.53,2.34,1.5,2.37,16.74,1.17,15.57,5.28,0.14,1.15,6.57,1.3,8.85,42.18,2017,False,44551107,0.998,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1318,direct
Punjab,5.54,11.83,1.31,5.25,23.93,2.35,21.58,34.56,0.2,1.01,35.78,1.41,1.09,165.77,2017,False,29158240,0.8325,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),680,direct
Rajasthan,9.74,0.78,0.24,2.44,13.21,1.22,11.99,14.85,0.0,1.92,16.77,2.67,0.88,139.88,2017,False,74905162,1.489,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),560,direct
Sikkim,5.2,0.0,0.43,0.0,5.63,4.11,1.52,0.0,0.0,0.0,0.0,0.01,1.51,0.06,2017,False,657204,1.2341,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2950,direct
Tamil Nadu,6.67,9.41,1.89,2.26,20.22,2.02,18.2,13.06,0.0,1.67,14.73,1.85,5.66,80.94,2017,False,75511539,0.7625,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1185,direct
Telangana,7.56,1.42,1.88,2.76,13.62,1.25,12.37,7.09,0.0,1.0,8.09,1.39,4.26,65.45,2017,True,37287635,1.059,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),980,direct
Tripura,0.8,0.06,0.4,0.26,1.53,0.29,1.24,0.02,0.0,0.08,0.1,0.11,1.11,7.88,2017,False,3867631,0.8601,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2050,direct
Uttar Pradesh,37.73,11.67,1.59,18.93,69.92,4.6,65.32,40.89,0.0,4.95,45.84,5.96,20.36,70.18,2017,True,220622884,1.665,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),855.0,averaged_from_2_subdivisions
Uttarakhand,1.15,0.93,0.09,0.87,3.04,0.15,2.89,1.3,0.13,0.22,1.64,0.22,1.25,56.83,2017,False,10707039,1.0004,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1590,direct
West Bengal,18.71,1.51,5.26,3.85,29.33,2.77,26.56,10.84,0.0,1.0,11.84,1.53,14.19,44.6,2017,True,96932368,1.0071,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2115.0,averaged_from_2_subdivisions
Andaman & Nicobar,0.32,0.0002,0.0,0.0001,0.32,0.03,0.28,0.0001,0.001,0.01,0.01,0.01,0.28,2.6,2020,False,411898,0.8825,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3500,direct
Andhra Pradesh,8.93,8.54,0.85,5.83,24.15,1.21,22.94,6.6,0.15,0.88,7.63,1.31,15.91,33.26,2020,False,53433741,0.8789,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),933,direct
Arunachal Pradesh,2.01,0.07,1.11,0.002,3.19,0.27,2.92,0.003,0.0002,0.01,0.01,0.01,2.9,0.36,2020,False,1550703,1.2739,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3200,direct
Assam,17.92,0.96,7.64,0.53,27.05,5.09,21.97,1.97,0.01,0.6,2.58,0.66,19.33,11.73,2020,False,35140302,1.3282,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_isolated_subdivision_figure
Bihar,21.02,3.32,1.29,2.42,28.05,2.6,25.46,10.33,0.65,2.04,13.02,2.29,12.23,51.14,2020,False,119277390,1.5238,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1410,direct
Chandigarh,0.01,0.02,0.005,0.03,0.06,0.01,0.06,0.01,0.002,0.03,0.05,0.03,0.01,80.6,2020,False,1139715,0.8571,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_subdivision_for_this_small_UT
Chhattisgarh,8.33,1.38,1.11,1.84,12.65,1.11,11.55,4.53,0.1,0.71,5.35,0.84,6.25,46.34,2020,False,29021838,1.4279,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1452,direct
Dadra & Nagar Haveli and Daman & Diu,0.07,0.0105,0.003,0.021,0.1,0.006,0.1,0.013000000000000001,0.04,0.02,0.06,0.04,0.030199999999999998,60.0,2020,False,683963,1.714,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_subdivision_for_this_small_UT
Delhi,0.05,0.13,0.004,0.13,0.32,0.03,0.29,0.07,0.04,0.18,0.29,0.19,0.02,101.4,2020,False,20242393,2.1009,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),640,direct
Goa,0.34,0.02,0.003,0.04,0.4,0.08,0.32,0.02,0.004,0.05,0.08,0.05,0.24,23.48,2020,False,1548502,0.6672,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3400,direct
Gujarat,19.59,2.89,0.0,4.32,26.81,1.9,24.91,12.65,0.03,0.62,13.3,0.78,12.52,53.39,2020,False,68307197,1.3689,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1193,direct
Haryana,3.24,2.81,0.58,2.9,9.53,0.9,8.63,10.47,0.53,0.62,11.61,0.57,0.97,134.56,2020,False,27905482,1.0722,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),570,direct
Himachal Pradesh,0.66,0.13,0.13,0.14,1.07,0.1,0.97,0.2,0.05,0.1,0.36,0.1,0.62,36.83,2020,False,7391026,0.8244,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1620,direct
Jammu & Kashmir,0.8,2.04,0.95,0.88,4.68,0.46,4.22,0.2,0.13,0.56,0.89,0.57,3.32,21.03,2020,False,13495870,0.8184,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),780,shared_combined_subdivision_value_not_state_specific
Jharkhand,4.91,0.43,0.47,0.35,6.15,0.51,5.64,0.93,0.2,0.51,1.64,0.52,4.02,29.13,2020,False,37992954,1.5819,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1520,direct
Karnataka,7.47,4.68,2.23,3.77,18.16,1.76,16.4,9.6,0.0,1.03,10.63,1.16,7.08,64.85,2020,False,66886273,1.0113,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1460,direct
Kerala,4.2,0.13,0.46,0.86,5.65,0.53,5.12,1.16,0.01,1.47,2.65,2.25,2.13,51.68,2020,False,34949757,0.5032,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3200,direct
Ladakh,0.01,0.05,0.02,0.04,0.12,0.01,0.11,0.001,0.0002,0.02,0.02,0.02,0.09,17.9,2020,False,290780,0.6508,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),780,shared_combined_subdivision_value_not_state_specific
Lakshadweep,0.011,0.0,0.002,0.0,0.01,0.01,0.005,0.0,0.0,0.003,0.003,0.005,0.002,58.47,2020,False,67927,0.5815,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2000,direct
Madhya Pradesh,27.75,1.6,0.12,6.69,36.16,2.78,33.38,17.33,0.03,1.61,18.97,1.84,15.25,56.82,2020,False,83147277,1.5145,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1355,direct
Maharashtra,20.66,2.38,0.53,8.45,32.01,1.76,30.25,15.29,0.003,1.34,16.63,1.34,14.2,54.99,2020,False,122022341,0.9194,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1480,direct
Manipur,0.4,0.001,0.11,0.002,0.51,0.05,0.46,0.003,0.0002,0.02,0.02,0.02,0.44,5.12,2020,False,3067120,0.7964,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1750,direct
Meghalaya,1.66,0.01,0.36,0.01,2.04,0.22,1.82,0.03,0.0003,0.05,0.08,0.06,1.73,4.22,2020,False,3326450,1.2791,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3000,used_dedicated_subdivision_not_combined
Mizoram,0.19,0.0,0.03,0.0,0.22,0.02,0.2,0.0,0.0,0.01,0.01,0.01,0.19,3.81,2020,False,1224817,1.23,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2250,direct
Nagaland,1.08,0.76,0.27,0.06,2.17,0.22,1.95,0.002,3e-05,0.02,0.02,0.02,1.93,1.04,2020,False,2139160,0.8713,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2100,direct
Odisha,10.26,2.71,1.51,2.6,17.08,1.37,15.71,5.5,0.15,1.21,6.86,1.46,8.74,43.65,2020,False,45898283,0.998,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1750,direct
Punjab,5.01,10.42,0.95,6.41,22.8,2.2,20.59,32.8,0.0,1.05,33.85,1.08,1.61,164.42,2020,False,29892525,0.8325,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),680,direct
Rajasthan,8.8,0.58,0.29,2.57,12.24,1.17,11.07,14.37,0.13,2.14,16.63,2.17,0.99,150.22,2020,False,78301276,1.489,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),650,direct
Sikkim,0.96,0.0,0.0,0.0,0.96,0.1,0.86,0.0,0.002,0.01,0.01,0.01,0.85,0.86,2020,False,681837,1.2341,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3300,direct
Tamil Nadu,6.83,9.04,1.26,2.45,19.59,1.9,17.69,13.52,0.17,0.99,14.67,1.52,5.65,82.93,2020,False,77252182,0.7625,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1050,direct
Telangana,7.5,3.29,1.1,4.75,16.63,1.6,15.03,7.13,0.14,0.73,8.01,0.74,7.14,53.32,2020,False,38484907,1.059,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1100,direct
Tripura,0.85,0.06,0.34,0.22,1.47,0.22,1.24,0.02,0.0002,0.08,0.1,0.09,1.14,7.94,2020,False,3968285,0.8601,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2300,direct
Uttar Pradesh,37.75,13.16,1.3,19.99,72.2,5.32,66.88,41.29,0.0,4.74,46.03,5.38,21.53,68.83,2020,False,231827355,1.665,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),985.0,averaged_from_2_subdivisions
Uttarakhand,1.29,0.31,0.1,0.32,2.02,0.17,1.85,0.63,0.09,0.15,0.87,0.16,0.98,46.8,2020,False,11031595,1.0004,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1850,direct
West Bengal,18.71,1.51,5.26,3.85,29.33,2.77,26.56,10.84,0.27,0.73,11.84,1.53,14.19,44.6,2020,False,99890609,1.0071,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),2400.0,averaged_from_2_subdivisions
Andaman & Nicobar,0.2979,0.0002,0.3203,0.0001,0.6185,0.0618,0.5566,0.0001,0.001,0.0065,0.0075,0.0069,0.5486,1.35,2022,False,415426,0.8825,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3400,direct
Andhra Pradesh,9.14,9.41,0.91,7.77,27.23,1.36,25.86,6.46,0.16,0.83,7.45,1.09,18.54,28.81,2022,False,54120951,0.8789,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),978,direct
Arunachal Pradesh,1.96,0.94,1.06,0.56,4.52,0.41,4.07,0.02,0.01,0.01,0.03,0.01,4.03,0.79,2022,False,1595552,1.2739,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),3050,direct
Assam,17.92,1.15,6.52,0.94,26.53,2.56,21.4,2.06,0.01,0.58,2.65,0.62,18.71,12.38,2022,False,35881371,1.3282,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_isolated_subdivision_figure
Bihar,19.94,7.07,1.14,5.0,33.15,3.1,30.04,10.01,0.35,3.14,13.5,3.41,16.76,44.94,2022,False,123014118,1.5238,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1155,direct
Chandigarh,0.01,0.01,0.0,0.03,0.05,0.01,0.05,0.01,0.002,0.03,0.04,0.03,0.01,80.99,2022,False,1155523,0.8571,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_subdivision_for_this_small_UT
Chhattisgarh,8.08,1.8,0.15,2.01,12.04,1.04,11.01,4.62,0.11,0.73,5.46,0.83,5.56,49.58,2022,False,29932001,1.4279,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),1301,direct
Dadra & Nagar Haveli and Daman & Diu,0.097,0.011,0.003,0.021,0.128,0.012,0.11599999999999999,0.013000000000000001,0.145,0.01,0.167,0.036000000000000004,0.01,143.97,2022,False,678743,1.714,ORGI 2011 Census + ORGI Projection 2011-2036 (piecewise CAGR),,UNAVAILABLE_no_subdivision_for_this_small_UT
