State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing
Chhattisgarh,8.57,3.43,0.15,2.03,14.18,1.26,12.93,5.21,0.14,0.77,6.12,0.84,6.82,47.32,2024,False
Dadra & Nagar Haveli and Daman & Diu,0.09,0.01,0.0,0.02,0.12,0.01,0.12,0.01,0.14,0.01,0.16,0.03,0.01,133.33,2024,False
Delhi,0.12,0.09,0.0,0.17,0.38,0.04,0.34,0.08,0.0,0.26,0.34,0.28,0.02,100.77,2024,False
Goa,0.35,0.01,0.0,0.03,0.38,0.08,0.31,0.03,0.0,0.04,0.07,0.04,0.24,22.91,2024,False
Gujarat,19.58,2.79,0.0,5.21,27.58,2.0,25.58,12.81,0.21,0.85,13.86,0.92,12.38,54.21,2024,False
Haryana,3.26,3.51,0.67,2.86,10.32,0.96,9.36,11.47,0.58,0.67,12.72,0.68,1.1,135.96,2024,False
Himachal Pradesh,0.61,0.18,0.13,0.2,1.11,0.1,1.01,0.19,0.06,0.12,0.36,0.12,0.65,35.48,2024,False
Jammu & Kashmir,1.19,0.35,0.85,0.15,2.55,0.25,2.3,0.13,0.02,0.37,0.51,0.37,1.79,22.28,2024,False
Jharkhand,4.98,0.46,0.47,0.37,6.28,0.52,5.76,0.94,0.22,0.65,1.81,0.65,3.96,31.43,2024,False
Karnataka,8.79,5.01,1.23,3.7,18.74,1.86,16.88,10.15,0.19,1.22,11.55,1.28,7.1,68.44,2024,False
Kerala,4.19,0.13,0.49,0.85,5.67,0.54,5.13,1.12,0.01,1.63,2.76,2.14,2.12,53.78,2024,False
Ladakh,0.0,0.05,0.01,0.0,0.07,0.01,0.06,0.0,0.0,0.02,0.02,0.02,0.04,30.93,2024,False
Lakshadweep,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,61.32,2024,False
Madhya Pradesh,27.0,1.68,0.17,7.04,35.9,1.91,33.99,17.9,0.2,1.76,19.85,1.88,15.02,58.4,2024,False
Maharashtra,20.69,2.76,0.73,8.85,33.03,1.89,31.15,15.07,0.03,1.4,16.5,1.46,15.09,52.99,2024,False
Manipur,0.4,0.001,0.11,0.006,0.52,0.05,0.47,0.017,0.0002,0.02,0.04,0.02,0.43,8.0,2024,False
Meghalaya,1.35,0.06,0.42,0.04,1.86,0.33,1.53,0.02,0.0,0.05,0.07,0.05,1.48,4.6,2024,False
Mizoram,0.18,0.0,0.03,0.0,0.21,0.02,0.19,0.0,0.0,0.01,0.01,0.01,0.18,3.95,2024,False
Nagaland,0.41,0.12,0.08,0.01,0.62,0.05,0.56,0.01,0.0,0.02,0.03,0.02,0.53,4.72,2024,False
Odisha,10.18,2.94,1.51,2.84,17.46,1.42,16.04,6.28,0.19,1.26,7.74,1.37,8.26,48.23,2024,False
Puducherry,0.05,0.09,0.01,0.03,0.19,0.02,0.17,0.07,0.01,0.05,0.13,0.05,0.04,75.91,2024,False
Punjab,4.79,9.01,0.72,4.37,19.19,1.87,17.63,26.24,0.25,1.18,27.66,1.19,2.07,156.87,2024,False
Rajasthan,9.08,0.65,0.22,2.62,12.58,1.2,11.37,14.51,0.13,2.41,17.05,2.41,0.88,149.86,2024,False
Sikkim,0.18,0.0,0.06,0.0,0.24,0.02,0.22,0.01,0.0,0.0,0.01,0.0,0.2,5.85,2024,False
Tamil Nadu,7.42,10.18,1.2,2.71,21.51,2.07,19.46,13.51,0.14,0.8,14.45,1.45,6.76,74.26,2024,False
